FileNewDefault	New (Metric)
FileOpen	Open
FileSave	Save
FileSendAsAttachment	E-mail
FilePrintQuick	Quick Print
FilePrintPreview	Print Preview
Spelling	Spelling
Undo	Undo
RedoOrRepeat	Redo Or Repeat
FileOpenRecentFile	Open Recent File
PasteMenu	Paste
Paste	Paste
PasteSpecialDialog	Paste Special
PasteAsHyperlink	Paste as Hyperlink
PasteDuplicate	Duplicate
Cut	Cut
Copy	Copy
Font	Font
FontSize	Font Size
FontSizeIncrease	Increase Font Size
FontSizeDecrease	Decrease Font Size
Bold	Bold
Italic	Italic
Underline	Underline
Strikethrough	Strikethrough
TextNormalCase	Normal
TextAllCaps	All Caps
TextInitialCaps	Capitalize Each Word
TextSmallCaps	Small Caps
FontColorGallery	Font Color
TextAlignTop	Align Top
TextAlignMiddle	Align Middle
TextAlignBottom	Align Bottom
Bullets	Bullets
TextRotate90Degrees	Rotate Text
TextDirectionLeftToRight	Text Left To Right
TextDirectionRightToLeft	Text Right To Left
AlignLeft	Align Left
AlignCenter	Align Center
AlignRight	Align Right
AlignJustify	Justify
TextDirectionVertical	Text Direction Vertical
IndentDecreaseWord	Decrease Indent
IndentIncreaseWord	Increase Indent
PointerTool	Pointer Tool
ConnectorTool	Connector
TextTool	Text
DrawingToolsMenu	Drawing Tools Menu
RectangleTool	Rectangle
EllipseTool	Ellipse
LineTool	Line
FreeformTool	Freeform
ArcTool	Arc
PencilTool	Pencil
ConnectionPointTool	Connection Point
TextBlockTool	Text Block
FillColorGallery	Fill
FillDialog	Fill Options
LineColorGallery	Line
LineWeightGallery	Weight
LineWeightDialog	More Lines
LinePatternGallery	Dashes
LinePatternDialog	More Lines
LineArrowsGallery	Arrows
LineArrowsDialog	More Arrows
LineDialog	Line Options
ShadowColorGallery	Shadow Color
ShadowOptionsDialog	Shadow Options
AutoAlignAndSpace	Auto Align & Space
PositionMenu	Position
ShapeSpace	Space Shapes
ShapesRotateGallery	Rotate Shapes
RotateDiagram	Rotate Diagram
ObjectBringToFrontMenu	Bring Forward
ObjectBringForward	Bring Forward
ObjectBringToFront	Bring to Front
ObjectSendToBackMenu	Send Backward
ObjectSendBackward	Send Backward
ObjectSendToBack	Send to Back
ObjectsGroup	Group
ObjectsUngroup	Ungroup
ObjectsAddToGroup	Add to Group
ObjectsRemoveFromGroup	Remove from Group
ObjectsConvertToGroup	Convert to Group
FindDialog	Find
ReplaceDialog	Replace
LayerDialog	Assign to Layer
LayerPropertiesDialog	Layer Properties
SelectAll	Select All
SelectByTypeDialog	Select by Type
AreaSelect	Area Select
LassoSelectVisio	Lasso Select
BlankPageInsertMenu	Blank Page
BlankPageInsertVisio	Blank Page
BackgroundPageInsert	Background Page
PictureInsertFromFile	Insert Picture From File
ClipArtInsert	Insert Clip Art
ChartInsert	Insert Chart
CadDrawing	Insert CAD Drawing
ContainerGallery	Container
CalloutGallery	Callout
HyperlinkInsert	Insert Hyperlink
TextBoxInsertMenu	Text Box
TextBoxInsertHorizontal	Horizontal Text Box
TextBoxInsertVertical	Vertical Text Box
ScreenTip	ScreenTip
OleObjectctInsert	Insert Object
FieldInsert	Insert Field
SymbolInsertGallery	Insert Symbol
SymbolsDialog	Insert Symbol from Dialog
PageOrientation	Page Orientation Gallery
PageSize	Page Size Gallery
PageFitToDrawing	Fit to Drawing
MorePageSizes	More Page Sizes, Page Setup
AutoSizePage	Page Auto Size
ThemesGalleryVisio	Themes
ThemeApplyToNewShapes	Apply Theme to New Shapes
ThemeColorsGalleryVisio	Colors
ThemeColorsCreateNewVisio	Create New Theme Colors
ThemeEffectsGalleryVisio	Effects
ThemeEffectsCreateNewVisio	Create New Theme Effects
BackgroundsGallery	Backgrounds
BackgroundColor	Background Color
BordersAndTitlesGallery	Borders & Titles
PageRelayoutGallery	Re-Layout Page
LayoutMoreOptions	More Layout Options
ConnectorRightAngle	Right Angle
ConnectorStraightLines	Straight Lines
ConnectorCurvedLines	Curved Lines
ConnectorShowLineJumps	Show Line Jumps
DataLinkDataToShapes	Link Data to Shapes
DataAutomaticallyLink	Automatically Link
RefreshMenu	Refresh All
DataRefreshAllDialog	Refresh All
DataRefreshDialog	Refresh Data
DataGraphicsGalleryVisio	Data Graphics
DataGraphicCreateNew	Create New Data Graphic
DataGraphicEdit	Edit Data Graphic
DataGraphicApplyAfterLinkingData	Apply after Linking Data to Shapes
LegendInsertGallery	Insert Legend
ShapeDataWindow	Shape Data Window
ExternalDataWindow	External Data Window
SubprocessCreateNew	Create New Subprocess
SubprocessLinkToExisting	Link to Existing Subprocess
SubprocessBrowseToOtherDocument	Browse to Other Document
SubprocessEditLink	Edit Link
SubprocessCreateFromSelection	Create Subprocess from Selection
DiagramCheckMenu	Check Diagram
DiagramCheck	Check Diagram
RulesImportFrom	Import Rules From
IgnoreThisIssueMenu	Ignore This Issue
IgnoreThisIssue	Ignore This Issue
IgnoreRule	Ignore Rule
StopIgnoringThisIssue	Stop Ignoring This Issue
StopIgnoringRule	Stop Ignoring Rule
ShowIgnoredIssues	Show Ignored Issues
IssuesWindow	Issues Window
SharePointWorkflowImport	Import SharePoint Workflow
SharePointWorkflowExport	Export SharePoint Workflow
ResearchPane	Research
Thesaurus	Thesaurus
Translate	Translate
SetLanguage	Set Proofing Language
LanguagePreferences	Language Preferences
ReviewNewComment	New Comment
ReviewEditComment	Edit Comment
ReviewDeleteComment	Delete Comment
ReviewPreviousComment	Previous Comment
ReviewNextComment	Next Comment
ReviewShowOrHideMarkup	Show Markup
ReviewDeleteMarkupsMenu	Delete Markup
ReviewDeleteMarkup	Delete Markup
ReviewDeleteAllMarkupOverlaysInDocument	Delete All Markup Overlays in Document
ReviewMarkupPrevious	Previous Markup
ReviewMarkupNext	Next Markup
ReviewMarkupTrack	Track Markup
InkTool	Ink
ReviewingPane	Reviewing Pane
ShapeReports	Shape Reports
ViewFullScreenView	Full Screen
ShowRulerVisio	Ruler
ShowGrid	Grid
ShowPageBreaks	Page Breaks
ShowGuides	Guides
ShapesWindow	Shapes
ShapeDataWindowShowHide	Shape Data
PanAndZoomWindow	Pan & Zoom
SizeAndPositionWindow	Size & Position
ViewDirectionLeftToRight	Left-To-Right
ViewDirectionRightToLeft	Right-to-Left
ZoomDialog	Zoom
ZoomFitToWindowVisio	Fit to Window
ZoomPageWidthVisio	Page Width
DynamicGrid	Dynamic Grid
AutoConnect	AutoConnect
ConnectionPoints	Connection Points
WindowNew	New Window
WindowsArrangeAll	Arrange All Windows
WindowsCascade	Cascade Windows
WindowMoreWindowsDialog	More Windows Dialog
MacroPlay	View Macros
VisualBasic	Visual Basic
MacroRecord	Record Macro
RecorderStopVisio	Recorder Stop Visio
MacroRecorderPause	Pause Recording
RecorderResume	Recorder Resume Visio
MacroSecurity	Macro Security
ComAddInsDialog	COM Add-Ins
ControlsGallery	Insert
DesignMode	Design Mode
ControlProperties	Properties
ViewVisualBasicCode	View Code
ShowShapeSheet	ShapeSheet
ShowShapeSheetShape	Shape ShapeSheet
ShowShapeSheetPage	Page ShapeSheet
ShowShapeSheetDocument	Document ShapeSheet
DeveloperDrawingTools	Drawing Tool
ShapesObjectUnion	Union
ShapesObjectCombine	Combine
ShapesObjectFragment	Fragment
ShapesObjectIntersect	Intersect
ShapesObjectSubtract	Subtract
ShapesObjectJoin	Join
ShapesObjectTrim	Trim
ShapesObjectOffset	Offset
ShapesObjectUpdateAlignmentBox	Update Alignment Box
ShapeName	Shape Name
ShapeBehavior	Behavior
ShapeProtection	Protection
NewBlankStencil	New Stencil
NewBlankStencilMetric	New Stencil (Metric)
NewBlankStencilUS	New Stencil (US Units)
DocumentStencil	Document Stencil
DrawingExplorer	Drawing Explorer
MasterExplorer	Master Explorer
EventMonitor	Event Monitor
PersistentEvents	Persistent Events
PrintShapeSheet	Print ShapeSheet
FilePrint	Print
PrintPreviewWholePage	Whole Page
PrintPreviewCurrentView	Curren View
PrintPreviewSingleTile	Single Tile
PrintPreviewNextTile	Next Tile
PrintPreviewPreviousTile	Previous Tile
HeaderFooterInsert	Header & Footer
PrintPreviewClose	Close Print Preview
OpenStencil	Open Stencil
StencilExplorer	Stencil Explorer
IconsAndNames	Icons & Names
IconsOnly	Icons Only
NamesOnly	Names Only
IconsAndDetails	Icons & Details
NamesUnderIcons	Names under Icons
DrawingPage	Drawing Page
NewMaster	New Master
EditMaster	Edit Master Shape
MasterProperties	Master Properties
EditIcon	Edit Icon
UpdateIcon	Update Icon
StencilClose	Close Stencil
ClearIconColors	Clear
IconSelectArea	Area Select
IconSelectLasso	Lasso Select
IconPencilTool	Pencil Tool
IconBucketTool	Bucket Tool
LeftButtonIconColor	Left Button
LeftButtonIconTransparent	Transparent
RightButtonIconColor	Right Button
RightButtonIconTransparent	Transparent
IconEditClose	Close Icon Editor
ShapeSheetExpandRow	Expand Row
ShapeSheetChangeRowType	Change Row Type
ShapeSheetInsertRowAfter	Insert After
WebGoBack	Back
WebGoForward	Forward
ShapeDataSets	Shape Data Sets
CalendarInsertVisio	Calendar
PivotDiagramInsert	Insert PivotDiagram
GanttChartInsert	Gantt Chart
OrganizationChartInsertVisio	Organization Chart
TimelineInsert	Timeline
SnapToAlignmentBox	Snap to Alignment Box
GlueToConnectionPoints	Glue to Connection Points
GlueToggle	Toggle Glue
SnapToggle	Toggle Snap
SnapToGridVisio	Snap to Grid
GlueToGuides	Glue to Guides
ColorPalette	Color Palette
SnapToRulerSubdivisions	Snap to Ruler Subdivisions
GlueToShapeGeometry	Glue to Shape Geometry
GlueToShapeHandles	Glue to Shape Handles
SnapToShapeIntersections	Snap to Shape Intersections
GlueToShapeVertices	Glue to Shape Vertices
SnapToDrawingAids	Snap to Drawing Aids
ParagraphSpacingDecrease	Decrease Paragraph Spacing
ParagraphSpacingIncrease	Increase Paragraph Spacing
DoubleStrikethrough	Double Strikethrough
UnderlineDouble	Double Underline
ParagraphDistributed	Distributed
Subscript	Subscript
ResetConnector	Reset Connector
Superscript	Superscript
DistributeCenter	Distribute Center
DistributeMiddle	Distribute Middle
FitCurveDialog	Fit Curve
FindSimilarShapes	Find Similar Shapes
FitCurve	Fit Curve
AlignDialog	Align Objects
ConnectShapes	Connect Shapes
ReverseEnds	Reverse Ends
RelayoutShapes	Re-layout Shapes
ShapeActions	Edit Text
EditText	Edit Text
ArrayShapes	Array Shapes
CornerRounding	Corner Rounding
ShapeStyles	Define Styles
ShapeDoubleClick	Double-Click
FormatInk	Format Ink
StyleDialog	Style
AllowThemes	Allow Themes
RemoveTheme	Remove Theme
FileLinksToFiles	Edit Links to Files
GoToPageVisio	Go to Page
Reconvert	Reconvert
PagesDelete	Delete Pages
EditBackground	Edit Background
EditDrawing	Foreground
GoToDrawingPage	Page
ReorderPages	Reorder Pages
DeleteShapeScreenTip	Delete Shape ScreenTip
NextPage	Next Page
PreviousPage	Previous Page
ChangePrinter	Current Printer
ZoomClassic	Zoom:
FirstTile	First Tile
LastTile	Last Tile
OpenInVisio	Open in Visio
Zoom100Visio	Zoom 100%
ActualSize	Actual Size
ZoomIn	Zoom In
ZoomOut	Zoom Out
ZoomLastVisio	Last Zoom
StampTool	Stamp Tool
TextDialog	Text
FillStyle	Fill Style
LineStyleVisio	Line Style
StyleMenu	Style
TextStyle	Text Style
LayerMenu	Layer
EquationEditor	Equation Editor
OrganizeMyShapes	Organize My Shapes
OleObjectEdit	Edit Object
AsianLayoutHorizontalInVertical	Horizontal in Vertical
JumpStyle	Jump Style
JumpStylePageDefault	Page Default
JumpStyleArc	Arc
JumpStyleGap	Gap
JumpStyleSquare	Square
JumpStyle2Sides	2 Sides
JumpStyle3Sides	3 Sides
JumpStyle4Sides	4 Sides
JumpStyle5Sides	5 Sides
JumpStyle6Sides	6 Sides
JumpStyle7Sides	7 Sides
JumpsAddTo	Add Jumps To
JumpsAddToNoLines	No Lines
JumpsAddToHorizontalLines	Horizontal Lines
JumpsAddToVerticalLines	Vertical Lines
JumpsAddToRoutedLine	Routed line
JumpsAddToLastLine	Last Line
JumpsAddToFirstLine	First Line
RerouteAsNeeded	Reroute as Needed
RerouteFreely	Reroute Freely
RerouteNever	Never Reroute
RerouteOnCrossover	Reroute on Crossover
RoutingStyle	Routing Style
Plow	Move Other Shapes Away on Drop
CenterDrawing	Center Drawing
FunctionInsertVisio	Insert Function
CellNameInsert	Insert Cell Name
ShortcutCreateVisio	Create Shortcut
DeveloperReference	Developer Reference
AutoCorrect	AutoCorrect Options
ProtectDocumentVisio	Protect Document
Delete	Delete
ShowMessageBar	Message Bar
FileDiscardCachedChanges	Discard Changes
FileSaveACopy	Save a Copy
ReopenFromServer	Reopen Document
MultipleSelect	Multiple Select
About	About
MinimizeRibbon	Minimize the Ribbon
FileSaveAs	Save As
FileCheckOut	Check Out
FileClose	Close
FileCheckOutDiscard	Discard Check Out
FileEmailAsPdfEmailAttachment	E-mail as PDF Attachment
FileEmailAsXpsEmailAttachment	E-mail as XPS Attachment
FileExit	Exit Visio
CreateNewDrawing	New
ApplicationOptionsDialog	Visio Options
FilePrintMenu	Print
FileSaveAsPdfOrXps	Publish as PDF or XPS
GroupReduceFileSize	Reduce File Size
GroupRemoveHiddenInformation	Remove Hidden Information
FileSaveAsMenu	Save As
SaveAsVSD	Visio Drawing (*.vsd)
SaveAsVST	Visio Template (*.vst)
SaveAsVSD10	Visio 2000-2002 Drawing (*.vsd)
FileSaveAsOtherFormats	Save as Another File Type
FileCheckIn	Check In
FileVersionHistory	View Version History
PictureBrightnessGallery	Brightness
PictureCorrectionsDialog	Picture Corrections Options
PictureContrastGallery	Contrast
PictureAutoBalance	AutoBalance
PictureCompress	Compress Picture
ObjectRotateGallery	Rotate
CropTool	Crop Tool
InkBallpointPen	Pen
InkHighlighter	Highlighter
InkEraser	Stroke Eraser
InkColorPicker	Color
OutlineWeightGallery	Weight
PenPressure	Pen Pressure
InkShapeClose	Close Ink Shape
InkAutoCreateShapes	Auto-Create Ink Shapes
InkCovertToTextVisio	Convert to Text
InkCovertToGeometry	Convert to Shape
InkToolsClose	Close Ink Tools
ShapeSheetShowFormulas	Formulas
ShapeSheetShowValues	Values
ShapeSheetShowSections	Sections
StyleExplorer	Style Explorer
ShapeSheetInsertSection	Insert
ShapeSheetDeleteSection	Delete
ShapeSheetInsertRow	Insert
ShapeSheetDeleteRow	Delete
ShapeSheetEditFormula	Edit Formula
ShapeData	Shape Data
ShapeSheetShapeAction	Shape Action
ShowFormulaTracingWindow	Show Window
TracePrecedentCells	Trace Precedents
TraceDependentCells	Trace Dependents
TraceBack	Back
TraceForward	Forward
ContainerMargins	Margins
FitToContents	Fit to Contents
AutomaticResizeNone	No Automatic Resize
AutomaticResizeExpandAsNeeded	Expand as Needed
AutomaticResizeAlwaysFitToContents	Always Fit to Contents
ContainerStyles	Container Styles
ContainerHeadingStyles	Heading Style
ContainerLock	Lock Container
SelectContents	Select Contents
ContainerDisband	Disband Container
